ticker;origen;destino
1INCHBTC;1INCH;BTC
1INCHBUSD;1INCH;BUSD
1INCHDOWNUSDT;1INCHDOWN;USDT
1INCHUPUSDT;1INCHUP;USDT
1INCHUSDT;1INCH;USDT
AAVEBKRW;AAVE;BKRW
AAVEBNB;AAVE;BNB
AAVEBTC;AAVE;BTC
AAVEBUSD;AAVE;BUSD
AAVEDOWNUSDT;AAVEDOWN;USDT
AAVEETH;AAVE;ETH
AAVEUPUSDT;AAVEUP;USDT
AAVEUSDT;AAVE;USDT
ACMBTC;ACM;BTC
ACMBUSD;ACM;BUSD
ACMUSDT;ACM;USDT
ADAAUD;ADA;AUD
ADABKRW;ADA;BKRW
ADABNB;ADA;BNB
ADABRL;ADA;BRL
ADABTC;ADA;BTC
ADABUSD;ADA;BUSD
ADADOWNUSDT;ADADOWN;USDT
ADAETH;ADA;ETH
ADAEUR;ADA;EUR
ADAGBP;ADA;GBP
ADAPAX;ADA;PAX
ADARUB;ADA;RUB
ADATRY;ADA;TRY
ADATUSD;ADA;TUSD
ADAUPUSDT;ADAUP;USDT
ADAUSDC;ADA;USDC
ADAUSDT;ADA;USDT
ADXBNB;ADX;BNB
ADXBTC;ADX;BTC
ADXETH;ADX;ETH
AEBNB;AE;BNB
AEBTC;AE;BTC
AEETH;AE;ETH
AERGOBTC;AERGO;BTC
AERGOBUSD;AERGO;BUSD
AGIBNB;AGI;BNB
AGIBTC;AGI;BTC
AGIETH;AGI;ETH
AIONBNB;AION;BNB
AIONBTC;AION;BTC
AIONBUSD;AION;BUSD
AIONETH;AION;ETH
AIONUSDT;AION;USDT
AKROBTC;AKRO;BTC
AKROUSDT;AKRO;USDT
ALGOBNB;ALGO;BNB
ALGOBTC;ALGO;BTC
ALGOBUSD;ALGO;BUSD
ALGOPAX;ALGO;PAX
ALGOTUSD;ALGO;TUSD
ALGOUSDC;ALGO;USDC
ALGOUSDT;ALGO;USDT
ALICEBTC;ALICE;BTC
ALICEBUSD;ALICE;BUSD
ALICEUSDT;ALICE;USDT
ALPHABNB;ALPHA;BNB
ALPHABTC;ALPHA;BTC
ALPHABUSD;ALPHA;BUSD
ALPHAUSDT;ALPHA;USDT
AMBBNB;AMB;BNB
AMBBTC;AMB;BTC
AMBETH;AMB;ETH
ANKRBNB;ANKR;BNB
ANKRBTC;ANKR;BTC
ANKRPAX;ANKR;PAX
ANKRTUSD;ANKR;TUSD
ANKRUSDC;ANKR;USDC
ANKRUSDT;ANKR;USDT
ANTBNB;ANT;BNB
ANTBTC;ANT;BTC
ANTBUSD;ANT;BUSD
ANTUSDT;ANT;USDT
APPCBNB;APPC;BNB
APPCBTC;APPC;BTC
APPCETH;APPC;ETH
ARDRBNB;ARDR;BNB
ARDRBTC;ARDR;BTC
ARDRETH;ARDR;ETH
ARDRUSDT;ARDR;USDT
ARKBTC;ARK;BTC
ARKETH;ARK;ETH
ARNBTC;ARN;BTC
ARNETH;ARN;ETH
ARPABNB;ARPA;BNB
ARPABTC;ARPA;BTC
ARPAUSDT;ARPA;USDT
ASRBTC;ASR;BTC
ASRUSDT;ASR;USDT
ASTBTC;AST;BTC
ASTETH;AST;ETH
ATMBTC;ATM;BTC
ATMUSDT;ATM;USDT
ATOMBNB;ATOM;BNB
ATOMBTC;ATOM;BTC
ATOMBUSD;ATOM;BUSD
ATOMPAX;ATOM;PAX
ATOMTUSD;ATOM;TUSD
ATOMUSDC;ATOM;USDC
ATOMUSDT;ATOM;USDT
AUCTIONBTC;AUCTION;BTC
AUCTIONBUSD;AUCTION;BUSD
AUDBUSD;AUD;BUSD
AUDIOBTC;AUDIO;BTC
